group,r,method,runs,alpha_mean,alpha_std,tau_value_mean,tau_value_std,group_n_mean,group_n_std,ell_mean,ell_std,k_mean,k_std,q_mean,q_std,embedding_wall_sec_mean,embedding_wall_sec_std,clustering_wall_sec_mean,clustering_wall_sec_std,total_method_wall_sec_mean,total_method_wall_sec_std,rp_draw_omega_sec_mean,rp_draw_omega_sec_std,rp_test_matrix_entry_std_mean,rp_test_matrix_entry_std_std,rp_power_iter_sec_mean,rp_power_iter_sec_std,rp_qr_sec_mean,rp_qr_sec_std,rp_build_core_sec_mean,rp_build_core_sec_std,rp_small_eigh_sec_mean,rp_small_eigh_sec_std,rp_lift_sec_mean,rp_lift_sec_std,eigen_decomposition_wall_sec_mean,eigen_decomposition_wall_sec_std,ARI_true_mean,ARI_true_std,NMI_true_mean,NMI_true_std,F1_macro_true_mean,F1_macro_true_std,ds_bucket_build_sec_mean,ds_bucket_build_sec_std,ds_draw_and_initial_multiply_sec_mean,ds_draw_and_initial_multiply_sec_std,ds_power_iter_sec_mean,ds_power_iter_sec_std,ds_qr_sec_mean,ds_qr_sec_std,ds_build_core_sec_mean,ds_build_core_sec_std,ds_small_eigh_sec_mean,ds_small_eigh_sec_std,ds_lift_sec_mean,ds_lift_sec_std,ds_num_buckets_mean,ds_num_buckets_std,ds_min_bucket_dim_mean,ds_min_bucket_dim_std,ds_max_bucket_dim_mean,ds_max_bucket_dim_std
low_deg_1_2,10,Degree-stratified RP,10,0.5,0.0,0.0,0.0,2942.0,0.0,28.0,0.0,18.0,0.0,1.0,0.0,0.014391770700103734,0.003181364999753017,0.6102667250000195,0.03120788660611807,0.6246584957001232,0.03219360923351069,,,,,,,,,,,,,,,0.014053358799992565,0.0030497845135258046,0.03496444707593162,0.00735333146943651,0.12747248167910344,0.009316191505535963,0.18685846476713874,0.015291647691390759,0.00025368759984303326,6.600589874614261e-05,0.0020939543001077254,0.00034925319932594697,0.005346854300069026,0.001157607572608523,0.004047129199943811,0.0012477350940189873,0.0011193751000519113,0.0006254328166971686,0.00011015029999725812,3.936126308354922e-05,0.0010822079999798007,0.0007822203103954718,8.0,0.0,2.0,0.0,5.0,0.0
low_deg_1_2,10,Gaussian RP,10,0.5,0.0,0.0,0.0,2942.0,0.0,28.0,0.0,18.0,0.0,1.0,0.0,0.011715550000008079,0.003004174424300352,0.6803204081999865,0.015314138568229567,0.6920359581999946,0.01421918533010238,0.0009895040000628796,0.00016604908429767285,0.1889822365046136,0.0,0.0015607583999553754,0.0003669117595105287,0.005265337500031819,0.0017005846793355373,0.0011179875999005162,0.0003641891022338183,0.00017904999995153049,0.00016983186174476247,0.002107362699962323,0.0019205735704979515,0.011220000199864444,0.002903981561871857,0.025477852635263955,0.0036039115310493655,0.08383412997715042,0.005287027551422225,0.14599511034627308,0.010112115824852276,,,,,,,,,,,,,,,,,,,,
low_deg_1_2,20,Degree-stratified RP,10,0.5,0.0,0.0,0.0,2942.0,0.0,38.0,0.0,18.0,0.0,1.0,0.0,0.04122287090003738,0.006265923494432492,0.6017942707000202,0.028749770439302512,0.6430171416000576,0.030329576390068533,,,,,,,,,,,,,,,0.04060790450002969,0.006004311652560111,0.043490126607097904,0.0070629695670137126,0.14433598713833412,0.015326247435489557,0.20001303959176836,0.016741971959105973,0.00032468759995936126,0.00012534335501210287,0.0024754665000273233,0.0005433922233688847,0.018708341599995036,0.00483726860522418,0.0157632459000979,0.004348208546282839,0.0020336920000772808,0.000997306945834376,0.00017156249991785445,5.4563715617695526e-05,0.001130908399954933,0.0015965099084691136,8.0,0.0,2.0,0.0,7.0,0.0
low_deg_1_2,20,Gaussian RP,10,0.5,0.0,0.0,0.0,2942.0,0.0,38.0,0.0,18.0,0.0,1.0,0.0,0.026766183500058105,0.010206813423934147,0.6796149583999977,0.026697954422596145,0.7063811419000559,0.02874002723516128,0.0013471751999986736,0.00021104545695189685,0.16222142113076254,0.0,0.002048783199870741,0.0005081919016600479,0.018331950200035863,0.00963422066382109,0.0027038914999593542,0.000745015167975087,0.0004189210999811621,0.0004040392343615849,0.001300166700139016,0.001106450525135811,0.02615088789998481,0.01022855897102272,0.029583527212598253,0.0059578280057920475,0.0902662650337824,0.008763807334795641,0.15747119439471002,0.010677134912679588,,,,,,,,,,,,,,,,,,,,
low_deg_1_2,40,Degree-stratified RP,10,0.5,0.0,0.0,0.0,2942.0,0.0,58.0,0.0,18.0,0.0,1.0,0.0,0.06685992919992714,0.00870982637754219,0.5996162957999787,0.043139740561901035,0.6664762249999058,0.0462083534633052,,,,,,,,,,,,,,,0.06592321250027453,0.008491048500143475,0.07416070648884929,0.008725360958320218,0.19521767202392004,0.011063944526993495,0.2485856535869623,0.012347542758436454,0.00031015419999675943,9.873939241683807e-05,0.002673420800101667,0.0005974925784129736,0.03266699600003449,0.0034439195311292206,0.025148362500067377,0.006864280657505904,0.0035786873000233756,0.001407472597673542,0.0007965542000420101,0.0007570382757061665,0.0007490375000088534,0.000648358356796398,8.0,0.0,4.0,0.0,10.0,0.0
low_deg_1_2,40,Gaussian RP,10,0.5,0.0,0.0,0.0,2942.0,0.0,58.0,0.0,18.0,0.0,1.0,0.0,0.051473141999986184,0.021433295950551937,0.6577670291999311,0.017140306859130358,0.7092401711999173,0.029165740828644076,0.0020466458998271266,0.00035438579145293626,0.13130643285972254,0.0,0.0037235334999422775,0.0009576132856643059,0.039099020699950415,0.020274909235124254,0.004192687399972783,0.003666361511657359,0.0004276708998986578,0.00015956002704179114,0.001431491800076401,0.0009559674044837669,0.05092105019966766,0.021279436170857036,0.03667411100647651,0.004208464357795254,0.1048909573164547,0.007626937194730464,0.1767233702412796,0.013114064449517033,,,,,,,,,,,,,,,,,,,,
mid_deg_3_8,0,Degree-stratified RP,10,0.5,0.0,0.0,0.0,2847.0,0.0,18.0,0.0,18.0,0.0,1.0,0.0,0.008113141800095036,0.0013817635295809865,0.5213787290000255,0.025509024755185246,0.5294918708001205,0.025566633793304015,,,,,,,,,,,,,,,0.007927350199952343,0.00127832799403692,0.06786626797434189,0.01825285026919157,0.18309363597111136,0.020570212469209957,0.19309680842891508,0.022954206778128827,0.0002503169000192429,6.283249122253354e-05,0.0018905042999904254,0.00027517751275830395,0.0024478875999193405,0.0004952036245865387,0.002172904200006087,0.0006513653178169687,0.0007521665000695066,0.00036746686151471855,6.773319996682403e-05,3.394115035886125e-05,0.00034583749998091663,0.000631026737442284,8.0,0.0,1.0,0.0,3.0,0.0
mid_deg_3_8,0,Gaussian RP,10,0.5,0.0,0.0,0.0,2847.0,0.0,18.0,0.0,18.0,0.0,1.0,0.0,0.0062936957000147235,0.0022100976604410823,0.6589224958000159,0.029491002468182485,0.6652161915000306,0.03038013754946458,0.0006803958998716553,0.00013018795169489838,0.23570226039551584,0.0,0.0013690498999494594,0.0006442828059643011,0.0022724334000031377,0.000491458271498741,0.0008430542000496643,0.0003718452523931558,0.00015647489999537356,0.00028190006374740907,0.0003131790999759687,0.0004145486763627745,0.005634587399845259,0.0011423046839694627,0.04543939037453777,0.0033710758532172033,0.13632874261488315,0.007793374713629479,0.18778263129188427,0.012546211002618629,,,,,,,,,,,,,,,,,,,,
mid_deg_3_8,2,Degree-stratified RP,10,0.5,0.0,0.0,0.0,2847.0,0.0,20.0,0.0,18.0,0.0,1.0,0.0,0.008609933400020964,0.0015272767570955706,0.5717113791000429,0.03163055632715609,0.5803213125000639,0.032002787586066644,,,,,,,,,,,,,,,0.008487920800189386,0.001497853496945455,0.0747094802476305,0.01136935638602119,0.2016287327889466,0.019842940357413227,0.20856996736493505,0.026615672455100173,0.00024386260006394877,6.811363714124466e-05,0.002038970800003881,0.0004302101146831333,0.002664762300082657,0.00043033307345044817,0.0021095708000757442,0.000504234458442767,0.0006248958000014682,0.0002995271286749784,6.145839993223489e-05,2.3193474676436676e-05,0.000744400100029452,0.0009624756416389442,8.0,0.0,2.0,0.0,3.0,0.0
mid_deg_3_8,2,Gaussian RP,10,0.5,0.0,0.0,0.0,2847.0,0.0,20.0,0.0,18.0,0.0,1.0,0.0,0.008120987399934165,0.0033324360960539437,0.6582546000999627,0.030794083571022337,0.6663755874998969,0.03084392228577223,0.0006810207999933482,5.669180340577184e-05,0.223606797749979,0.0,0.001039504099981059,0.00020559312624685141,0.0025098208001054444,0.0007187041901697734,0.0007198960000096121,0.0002753809364672372,6.662920009148365e-05,2.3175833105821218e-05,0.002969691700036492,0.0033517329790417943,0.007986562600217439,0.00328239651938736,0.05018357740507466,0.00808107813464069,0.14349757023121393,0.010923254608833578,0.1977707174563094,0.019699299470367596,,,,,,,,,,,,,,,,,,,,
mid_deg_3_8,5,Degree-stratified RP,10,0.5,0.0,0.0,0.0,2847.0,0.0,23.0,0.0,18.0,0.0,1.0,0.0,0.011396108400049343,0.0017896306394539017,0.58573177079993,0.05213274778549288,0.5971278791999793,0.052443431253798196,,,,,,,,,,,,,,,0.011147979199904512,0.0016966945654742819,0.0751240858238198,0.010315475237153813,0.20480418403067363,0.012516981080953076,0.2178812347138297,0.016126732117382706,0.00023424579999300476,5.800022368585556e-05,0.001966270799994163,0.00024800985791874623,0.003718983400040088,0.0007667385242925508,0.002959850000024744,0.0008891963643442401,0.0007710750999194715,0.0002309916095279239,7.120829995983513e-05,2.5561804702067782e-05,0.0014263457999732054,0.0012545144443744899,8.0,0.0,2.0,0.0,4.0,0.0
mid_deg_3_8,5,Gaussian RP,10,0.5,0.0,0.0,0.0,2847.0,0.0,23.0,0.0,18.0,0.0,1.0,0.0,0.008228737400031605,0.002200769963144625,0.6702264000000013,0.030042448867673054,0.6784551374000329,0.030826622106596573,0.0008793710000645661,0.00019440939132699106,0.20851441405707477,0.0,0.0016366500000458474,0.0006898160048806062,0.003251504100080638,0.0010519596075103635,0.0008693416999449255,0.00039462226627713464,8.26166998649569e-05,3.0238531807425317e-05,0.001373670800103355,0.0013367994298168963,0.008093154300104289,0.0021231399685762184,0.04760999651672477,0.00743672353031617,0.14069838426150377,0.009455057060598066,0.19763136490056685,0.00898105665008982,,,,,,,,,,,,,,,,,,,,
mid_deg_3_8,10,Degree-stratified RP,10,0.5,0.0,0.0,0.0,2847.0,0.0,28.0,0.0,18.0,0.0,1.0,0.0,0.014391770700103734,0.003181364999753017,0.6102667250000195,0.03120788660611807,0.6246584957001232,0.03219360923351069,,,,,,,,,,,,,,,0.014053358799992565,0.0030497845135258046,0.1041044178628113,0.020057502987562398,0.24994521052314753,0.014075973484192353,0.2685328166166214,0.019317184896324776,0.00025368759984303326,6.600589874614261e-05,0.0020939543001077254,0.00034925319932594697,0.005346854300069026,0.001157607572608523,0.004047129199943811,0.0012477350940189873,0.0011193751000519113,0.0006254328166971686,0.00011015029999725812,3.936126308354922e-05,0.0010822079999798007,0.0007822203103954718,8.0,0.0,2.0,0.0,5.0,0.0
mid_deg_3_8,10,Gaussian RP,10,0.5,0.0,0.0,0.0,2847.0,0.0,28.0,0.0,18.0,0.0,1.0,0.0,0.011715550000008079,0.003004174424300352,0.6803204081999865,0.015314138568229567,0.6920359581999946,0.01421918533010238,0.0009895040000628796,0.00016604908429767285,0.1889822365046136,0.0,0.0015607583999553754,0.0003669117595105287,0.005265337500031819,0.0017005846793355373,0.0011179875999005162,0.0003641891022338183,0.00017904999995153049,0.00016983186174476247,0.002107362699962323,0.0019205735704979515,0.011220000199864444,0.002903981561871857,0.05392110139692141,0.00895467770655691,0.15140948588201794,0.012527527974251244,0.20033577783515982,0.00887510445548977,,,,,,,,,,,,,,,,,,,,
mid_deg_3_8,20,Degree-stratified RP,10,0.5,0.0,0.0,0.0,2847.0,0.0,38.0,0.0,18.0,0.0,1.0,0.0,0.04122287090003738,0.006265923494432492,0.6017942707000202,0.028749770439302512,0.6430171416000576,0.030329576390068533,,,,,,,,,,,,,,,0.04060790450002969,0.006004311652560111,0.12714194022507103,0.013862897239727409,0.280991873592111,0.019142987570235328,0.29044370075958714,0.023104896268905016,0.00032468759995936126,0.00012534335501210287,0.0024754665000273233,0.0005433922233688847,0.018708341599995036,0.00483726860522418,0.0157632459000979,0.004348208546282839,0.0020336920000772808,0.000997306945834376,0.00017156249991785445,5.4563715617695526e-05,0.001130908399954933,0.0015965099084691136,8.0,0.0,2.0,0.0,7.0,0.0
mid_deg_3_8,20,Gaussian RP,10,0.5,0.0,0.0,0.0,2847.0,0.0,38.0,0.0,18.0,0.0,1.0,0.0,0.026766183500058105,0.010206813423934147,0.6796149583999977,0.026697954422596145,0.7063811419000559,0.02874002723516128,0.0013471751999986736,0.00021104545695189685,0.16222142113076254,0.0,0.002048783199870741,0.0005081919016600479,0.018331950200035863,0.00963422066382109,0.0027038914999593542,0.000745015167975087,0.0004189210999811621,0.0004040392343615849,0.001300166700139016,0.001106450525135811,0.02615088789998481,0.01022855897102272,0.06104169339958719,0.009412368304734558,0.1616623756644422,0.01249772420132618,0.21230022318670327,0.011373538513215242,,,,,,,,,,,,,,,,,,,,
mid_deg_3_8,40,Degree-stratified RP,10,0.5,0.0,0.0,0.0,2847.0,0.0,58.0,0.0,18.0,0.0,1.0,0.0,0.06685992919992714,0.00870982637754219,0.5996162957999787,0.043139740561901035,0.6664762249999058,0.0462083534633052,,,,,,,,,,,,,,,0.06592321250027453,0.008491048500143475,0.1973094615071584,0.018450328779983628,0.36555917301082647,0.019361728570814026,0.3506958125847783,0.022483583288298397,0.00031015419999675943,9.873939241683807e-05,0.002673420800101667,0.0005974925784129736,0.03266699600003449,0.0034439195311292206,0.025148362500067377,0.006864280657505904,0.0035786873000233756,0.001407472597673542,0.0007965542000420101,0.0007570382757061665,0.0007490375000088534,0.000648358356796398,8.0,0.0,4.0,0.0,10.0,0.0
mid_deg_3_8,40,Gaussian RP,10,0.5,0.0,0.0,0.0,2847.0,0.0,58.0,0.0,18.0,0.0,1.0,0.0,0.051473141999986184,0.021433295950551937,0.6577670291999311,0.017140306859130358,0.7092401711999173,0.029165740828644076,0.0020466458998271266,0.00035438579145293626,0.13130643285972254,0.0,0.0037235334999422775,0.0009576132856643059,0.039099020699950415,0.020274909235124254,0.004192687399972783,0.003666361511657359,0.0004276708998986578,0.00015956002704179114,0.001431491800076401,0.0009559674044837669,0.05092105019966766,0.021279436170857036,0.07825848070226403,0.007864185548883214,0.1869564176993505,0.010863396240436942,0.2401905145971368,0.021897438053281943,,,,,,,,,,,,,,,,,,,,
